Team,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Moniter HZ,GPU,Resolution,Mousepad,Keyboard,Headset
NIP,xand,Razer Viper,"1,000",800,0.5,400,1,BenQ XL2540,240,RTX 2070 Super,1280x960,Zowie G-SR,Zowie Celeritas II,HyperX Cloud Alpha
The Guard,neT,Zowie S2-C,"1,000",400,0.44,176,1,BenQ XL2546,240,RTX 3070,1920x1080,Logitech G640,Anne Pro 2,HyperX Cloud II
The Guard,Valyn,Logitech G Pro X Superlight,"1,000","1,600",0.15,240,1,BenQ XL2546,240,RTX 2070,1920x1080,Logitech G640,Razer Huntsman TE,HyperX Cloud II
The Guard,JonahP,Razer Viper Ultimate,"1,000",400,0.5,200,1,BenQ XL2546,240,RTX 3090,1920x1080,Gamesense Radar,Ducky One 2 TKL White,Sennheiser GAME ZERO
The Guard,trent,Razer DeathAdder V3 Pro,"1,000","1,600",0.2,320,1.009,BenQ XL2546,240,,1280x960,Zowie G-SR-SE,Redragon K522 TKL White,HyperX Cloud II
The Guard (B),psalm,Logitech G Pro Wireless,"1,000",800,0.34,272,1,Alienware AW2518H,240,RTX 2080 Ti,,Zowie G-SR-SE Divina Pink Edition,60% Custom Keyboard,Bose SoundSport
The Guard,sayaplayer,Logitech G Pro Gaming Mouse,"1,000","1,000",0.339,339,1,BenQ XL2546K,240,RTX 2080,1920x1080,Esports Tiger LongTeng SE,Leopold FC750R,HyperX Cloud II Wireless
Edward Gaming,ZmjjKK,VAXEE ZYGEN NP-01S Pink,"1,000",800,0.28,,NA,BenQ XL2546K,240,,1920x1080,Artisan Hien FX Soft,,
Keyd,heat,Logitech G Pro X Superlight Black,"1,000",800,0.4,320,1,Alienware AW2521HF,240,GTX 1660 Ti,1728x1080,SteelSeries QcK Heavy,Logitech G Pro Mechanical Keyboard,HyperX Cloud Alpha
Keyd,murizzzzz,Logitech G Pro X Superlight,"1,000",800,0.466,372,0.96,Alienware AW2518HF,240,RTX 2070 Super,1280x960,HyperX FURY S Pro,Anne Pro 2,Logitech G Pro X Wireless Headset
